,DATE,CORESTICKM159SFRBATL
2145,2009-03-15,2.486743692307692
2146,2009-03-22,2.4673865384615383
2147,2009-03-29,2.4480293846153844
2148,2009-04-05,2.4286722307692306
2149,2009-04-12,2.409315076923077
2150,2009-04-19,2.3899579230769232
2151,2009-04-26,2.3706007692307693
2152,2009-05-03,2.3512436153846155
2153,2009-05-10,2.3318864615384616
2154,2009-05-17,2.3125293076923077
2155,2009-05-24,2.293172153846154
2156,2009-05-31,2.273815
2157,2009-06-07,2.2422992571428573
2158,2009-06-14,2.210783514285714
2159,2009-06-21,2.1792677714285715
2160,2009-06-28,2.1477520285714284
2161,2009-07-05,2.116236285714286
2162,2009-07-12,2.0847205428571427
2163,2009-07-19,2.0532048
2164,2009-07-26,2.021689057142857
2165,2009-08-02,1.9901733142857143
2166,2009-08-09,1.9586575714285712
2167,2009-08-16,1.9271418285714286
2168,2009-08-23,1.8956260857142857
2169,2009-08-30,1.8641103428571428
2170,2009-09-06,1.8325946
2171,2009-09-13,1.801078857142857
2172,2009-09-20,1.7695631142857142
2173,2009-09-27,1.7380473714285714
2174,2009-10-04,1.7065316285714285
2175,2009-10-11,1.6750158857142856
2176,2009-10-18,1.6435001428571427
2177,2009-10-25,1.6119843999999999
2178,2009-11-01,1.5804686571428572
2179,2009-11-08,1.5489529142857141
2180,2009-11-15,1.5174371714285715
2181,2009-11-22,1.4859214285714284
2182,2009-11-29,1.4544056857142857
2183,2009-12-06,1.4228899428571427
2184,2009-12-13,1.3913742
2185,2009-12-20,1.3598584571428571
2186,2009-12-27,1.3283427142857143
2187,2010-01-03,1.2968269714285714
2188,2010-01-10,1.2653112285714285
2189,2010-01-17,1.2337954857142857
2190,2010-01-24,1.2022797428571428
2191,2010-01-31,1.170764
2192,2010-02-07,1.140244
2193,2010-02-14,1.109724
2194,2010-02-21,1.0792039999999998
2195,2010-02-28,1.048684
2196,2010-03-07,1.0379311542857141
2197,2010-03-14,1.0271783085714286
2198,2010-03-21,1.0164254628571427
2199,2010-03-28,1.0056726171428572
2200,2010-04-04,0.9949197714285714
2201,2010-04-11,0.9841669257142857
2202,2010-04-18,0.97341408
2203,2010-04-25,0.9626612342857143
2204,2010-05-02,0.9519083885714286
2205,2010-05-09,0.9411555428571429
2206,2010-05-16,0.9304026971428572
2207,2010-05-23,0.9196498514285714
2208,2010-05-30,0.9088970057142857
2209,2010-06-06,0.89814416
2210,2010-06-13,0.8873913142857143
2211,2010-06-20,0.8766384685714286
2212,2010-06-27,0.8658856228571428
2213,2010-07-04,0.8551327771428572
2214,2010-07-11,0.8443799314285714
2215,2010-07-18,0.8336270857142857
2216,2010-07-25,0.82287424
2217,2010-08-01,0.8121213942857143
2218,2010-08-08,0.8013685485714286
2219,2010-08-15,0.7906157028571428
2220,2010-08-22,0.7798628571428572
2221,2010-08-29,0.7691100114285714
2222,2010-09-05,0.7583571657142857
2223,2010-09-12,0.74760432
2224,2010-09-19,0.7368514742857143
2225,2010-09-26,0.7260986285714286
2226,2010-10-03,0.7153457828571428
2227,2010-10-10,0.7045929371428572
2228,2010-10-17,0.6938400914285714
2229,2010-10-24,0.6830872457142857
2230,2010-10-31,0.6723344
2231,2010-11-07,0.6914653128205128
2232,2010-11-14,0.7105962256410256
2233,2010-11-21,0.7297271384615385
2234,2010-11-28,0.7488580512820513
2235,2010-12-05,0.7679889641025641
2236,2010-12-12,0.7871198769230769
2237,2010-12-19,0.8062507897435898
2238,2010-12-26,0.8253817025641026
2239,2011-01-02,0.8445126153846154
2240,2011-01-09,0.8636435282051282
2241,2011-01-16,0.882774441025641
2242,2011-01-23,0.9019053538461538
2243,2011-01-30,0.9210362666666666
2244,2011-02-06,0.9401671794871794
2245,2011-02-13,0.9592980923076923
2246,2011-02-20,0.9784290051282051
2247,2011-02-27,0.9975599179487179
2248,2011-03-06,1.0166908307692308
2249,2011-03-13,1.0358217435897434
2250,2011-03-20,1.0549526564102565
2251,2011-03-27,1.074083569230769
2252,2011-04-03,1.093214482051282
2253,2011-04-10,1.1123453948717947
2254,2011-04-17,1.1314763076923076
2255,2011-04-24,1.1506072205128204
2256,2011-05-01,1.1697381333333332
2257,2011-05-08,1.188869046153846
2258,2011-05-15,1.2079999589743589
2259,2011-05-22,1.2271308717948717
2260,2011-05-29,1.2462617846153845
2261,2011-06-05,1.2653926974358973
2262,2011-06-12,1.2845236102564102
2263,2011-06-19,1.303654523076923
2264,2011-06-26,1.3227854358974358
2265,2011-07-03,1.3419163487179486
2266,2011-07-10,1.3610472615384615
2267,2011-07-17,1.3801781743589743
2268,2011-07-24,1.399309087179487
2269,2011-07-31,1.41844
2270,2011-08-07,1.431568081967213
2271,2011-08-14,1.4446961639344262
2272,2011-08-21,1.4578242459016393
2273,2011-08-28,1.4709523278688523
2274,2011-09-04,1.4840804098360656
2275,2011-09-11,1.4972084918032786
2276,2011-09-18,1.5103365737704917
2277,2011-09-25,1.523464655737705
2278,2011-10-02,1.536592737704918
2279,2011-10-09,1.549720819672131
2280,2011-10-16,1.5628489016393443
2281,2011-10-23,1.5759769836065574
2282,2011-10-30,1.5891050655737704
2283,2011-11-06,1.6022331475409837
2284,2011-11-13,1.6153612295081967
2285,2011-11-20,1.6284893114754098
2286,2011-11-27,1.641617393442623
2287,2011-12-04,1.654745475409836
2288,2011-12-11,1.6678735573770491
2289,2011-12-18,1.6810016393442622
2290,2011-12-25,1.6941297213114754
2291,2012-01-01,1.7072578032786885
2292,2012-01-08,1.7203858852459017
2293,2012-01-15,1.7335139672131148
2294,2012-01-22,1.7466420491803278
2295,2012-01-29,1.7597701311475409
2296,2012-02-05,1.7728982131147542
2297,2012-02-12,1.7860262950819672
2298,2012-02-19,1.7991543770491805
2299,2012-02-26,1.8122824590163935
2300,2012-03-04,1.8254105409836066
